ID,OrderId,UID,MID,Charge,TalkTime,Source,Country,UserSpend,MasterEarn,OrderStatus,Ender,Activity,Platform,CreateTime(IN),DialTime(IN),UnconnectTime(IN),ConnectTime(IN),HangUpTime(IN),RefundStatus,Review,,,ExotelCallId
3962818,64F4D0D30A06F737J678,1692911,593,30,0,Chat,1,0,0,NoAnswer,backend,,Android,2023-09-04 00:00:43,,2023-09-04 00:03:44,,,,No,,,
3962819,64F4D0D804F76288N923,1578323,284,43.2,6,Call,1,259.2,129.6,HangUp,User,Member,Android,2023-09-04 00:00:48,2023-09-04 00:00:48,,2023-09-04 00:00:58,2023-09-04 00:07:51,,No,,,29ac23ac81a8d0b9292c38b8feb41794
3962820,64F4D0E85596D826C838,2441121,1073,18,16,Chat(queue),1,252,125,HangUp,User,Active Offer,Android,2023-09-04 00:01:04,2023-09-04 00:10:24,,2023-09-04 00:10:27,2023-09-04 00:26:21,,No,,,
3962821,64F4D10322BA3971T452,1611790,1050,12,0,Call(queue),1,0,0,HangUp,User,,Android,2023-09-04 00:01:31,2023-09-04 00:06:43,,2023-09-04 00:06:50,2023-09-04 00:08:02,,No,,,55d26a7e04451beb73db270c18171794
3962822,64F4D11CA2622709F185,399599,469,30,8,Call,1,240,120,HangUp,User,,Android,2023-09-04 00:01:56,2023-09-04 00:01:56,,2023-09-04 00:02:10,2023-09-04 00:11:37,,No,,,5dd5521a6eef642401a40a56637e1794
3962823,64F4D1328EB91741B954,3554682,892,21,5,Chat,1,105,52.5,HangUp,User,,Android,2023-09-04 00:02:18,2023-09-04 00:04:25,,2023-09-04 00:04:28,2023-09-04 00:09:56,,Yes,,,
3962824,64F4D17484F11823B979,796465,650,25,0,Call(queue),1,0,0,Create,User,,Android,2023-09-04 00:03:24,,2023-09-04 00:03:30,,,,No,,,
3962825,64F4D1C02E8E8631F337,158848,656,20,2,Chat,1,40,20,HangUp,User,,Android,2023-09-04 00:04:40,2023-09-04 00:05:12,,2023-09-04 00:05:14,2023-09-04 00:06:59,,No,,,
3962826,64F4D1C07B6DD904R702,3358360,616,25,26,Call,1,650,325,HangUp,User,,Android,2023-09-04 00:04:40,2023-09-04 00:04:40,,2023-09-04 00:04:53,2023-09-04 00:31:41,,No,,,4dffc726ae873b4b2a9e82dc9ef51794
3962827,64F4D1CA84CEA459D404,1390110,937,42,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:04:50,2023-09-04 00:24:24,2023-09-04 00:24:36,2023-09-04 00:24:32,,,No,,,e4279a6902bb2d28b5ffe82626f01794
3962828,64F4D1E1B26E9765I908,1222554,891,33,6,Call,1,198,99,HangUp,User,,Android,2023-09-04 00:05:13,2023-09-04 00:05:14,,2023-09-04 00:05:25,2023-09-04 00:12:48,,No,,,6b99b32ba8989ffd24806d7025571794
3962829,64F4D27576149521T899,1667227,709,23,0,Call,1,0,0,NoAnswer,User,,Android,2023-09-04 00:07:41,2023-09-04 00:07:41,2023-09-04 00:08:03,2023-09-04 00:07:57,,,No,,,4e0088e051bba54071f4924ebec51794
3962830,64F4D27789EFB181D548,2990386,650,22.5,22,Call(queue),1,495,247.5,HangUp,User,Member,Android,2023-09-04 00:07:43,2023-09-04 00:28:26,,2023-09-04 00:28:33,2023-09-04 00:51:52,,No,,,6dce721407783615db499817b5201794
3962831,64F4D2A08563F855D600,158848,656,20,4,Chat,1,80,40,HangUp,User,,Android,2023-09-04 00:08:24,2023-09-04 00:08:26,,2023-09-04 00:08:32,2023-09-04 00:12:58,,Yes,,,
3962832,64F4D2A32F3E2534T217,1628663,1084,15,12,Call,1,180,72,HangUp,User,,Android,2023-09-04 00:08:27,2023-09-04 00:08:27,,2023-09-04 00:08:36,2023-09-04 00:21:46,,No,,,fa082a30de8a05f9de19fe57a0601794
3962833,64F4D2CA28072712K537,3352633,338,40,5,Call,1,200,100,HangUp,User,,Android,2023-09-04 00:09:06,2023-09-04 00:09:06,,2023-09-04 00:09:24,2023-09-04 00:15:34,,No,,,ca4640a751b9a18ce7db4f4380401794
3962834,64F4D303904EB511J369,1255036,712,36,33,Call(queue),1,1188,594,HangUp,User,,Android,2023-09-04 00:10:03,2023-09-04 00:29:01,,2023-09-04 00:29:07,2023-09-04 01:02:51,,No,,,2bca1bd46aa7e5f49356fbca2dcb1794
3962835,64F4D33D1BBF3481Z307,3020656,712,36,0,Call(queue),1,0,0,Create,User,,IOS,2023-09-04 00:11:01,,2023-09-04 00:49:04,,,,No,,,
3962836,64F4D3594F0C1396C585,1730244,619,23,8,Call(queue),1,184,92,HangUp,User,,Android,2023-09-04 00:11:29,2023-09-04 00:23:25,,2023-09-04 00:23:31,2023-09-04 00:32:24,,Yes,,,554e79281af4b68877ca0ded568e1794
3962837,64F4D35E3EF3A520X788,1023427,553,33,0,Chat,1,0,0,HangUp,Master,,Android,2023-09-04 00:11:34,2023-09-04 00:11:56,,2023-09-04 00:11:59,2023-09-04 00:11:59,,No,,,
3962838,64F4D371603CB309W897,1667227,656,20,8,Call(queue),1,160,80,HangUp,User,,Android,2023-09-04 00:11:53,2023-09-04 00:14:56,,2023-09-04 00:15:02,2023-09-04 00:24:00,,No,,,ace298f94ad77d2d504c79aef32b1794
3962839,64F4D383CCE20576C339,2673723,258,20,0,Call,1,0,0,HangUp,User,,Android,2023-09-04 00:12:11,2023-09-04 00:12:12,,2023-09-04 00:12:24,2023-09-04 00:13:10,,No,,,ca8179274993ae744aa21ea65ac61794
3962840,64F4D3E5AB733377Z994,3554682,415,21,0,Chat,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:13:49,,2023-09-04 00:16:51,,,,No,,,
3962841,64F4D3F51BFBC193P783,1023427,258,20,6,Chat,1,120,48,HangUp,User,,Android,2023-09-04 00:14:05,2023-09-04 00:14:07,,2023-09-04 00:14:09,2023-09-04 00:20:30,,Yes,,,
3962842,64F4D3FB62D0A865U530,1136719,891,33,8,Call,1,264,132,HangUp,User,,Android,2023-09-04 00:14:11,2023-09-04 00:14:11,,2023-09-04 00:14:20,2023-09-04 00:23:14,,No,,,760ace639748ad6d189529b9bd5e1794
3962843,64F4D3FD5A41A762H195,2673723,258,20,0,Chat(queue),1,0,0,NoAnswer,backend,,Android,2023-09-04 00:14:13,,2023-09-04 00:29:03,,,,No,,,
3962844,64F4D40A8FA4C162E250,3327239,1073,18,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:14:26,2023-09-04 00:31:28,2023-09-04 00:33:06,2023-09-04 00:31:49,,,No,,,9b951f507ce256658ff7d05a8b031794
3962845,64F4D43D41573848I315,3352097,558,45,5,Call,1,225,112.5,HangUp,User,,Android,2023-09-04 00:15:17,2023-09-04 00:15:17,,2023-09-04 00:15:24,2023-09-04 00:21:39,,No,,,c8d3214503c06d677f5102b15eb91794
3962846,64F4D496C1099158T471,2687684,139,21,10,Call,1,210,84,HangUp,User,,Android,2023-09-04 00:16:46,2023-09-04 00:16:47,,2023-09-04 00:17:01,2023-09-04 00:27:42,,Yes,,,dda83ef6bbc4023ace4f39ef12271794
3962847,64F4D4A387296169O750,1611790,1054,15,16,Chat,1,240,120,HangUp,User,,Android,2023-09-04 00:16:59,2023-09-04 00:17:03,,2023-09-04 00:17:08,2023-09-04 00:33:08,,No,,,
3962848,64F4D4D4E4969856T484,3352633,338,40,6,Call,1,240,120,HangUp,User,,Android,2023-09-04 00:17:48,2023-09-04 00:17:49,,2023-09-04 00:17:59,2023-09-04 00:25:11,,No,,,8743fb0a8f4e331da2f8a9bd654d1794
3962849,64F4D4E2169CB252E254,3554682,415,21,8,Chat,1,168,84,HangUp,Master,,Android,2023-09-04 00:18:02,2023-09-04 00:18:29,,2023-09-04 00:18:33,2023-09-04 00:27:34,,Yes,,,
3962850,64F4D50DB8910597Z466,2168318,892,21,0,Call,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:18:45,2023-09-04 00:18:46,2023-09-04 00:19:32,,,,No,,,34752b391f2703b6330076cb79b01794
3962851,64F4D550A665D583H113,2168318,892,21,0,Call,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:19:52,2023-09-04 00:19:52,2023-09-04 00:20:39,,,,No,,,933b181a486a2dccbce7950f2eef1794
3962852,64F4D5655CB31785L639,62416,489,20,10,Chat,1,200,100,HangUp,User,,Android,2023-09-04 00:20:13,2023-09-04 00:21:47,,2023-09-04 00:21:49,2023-09-04 00:31:31,,No,,,
